iter	Passed	Remaining
1550	76992	220851
1551	77037	220789
1552	77084	220730
1553	77132	220677
1554	77182	220628
1555	77234	220584
1556	77282	220531
1557	77332	220482
1558	77380	220427
1559	77428	220372
1560	77475	220316
1561	77522	220258
1562	77569	220203
1563	77618	220150
1564	77667	220099
1565	77720	220059
1566	77776	220026
1567	77828	219984
1568	77882	219946
1569	77928	219888
1570	77978	219838
1571	78024	219778
1572	78068	219714
1573	78120	219669
1574	78170	219621
1575	78217	219563
1576	78271	219528
1577	78320	219475
1578	78366	219417
1579	78412	219355
1580	78460	219301
1581	78508	219249
1582	78559	219201
1583	78603	219136
1584	78655	219094
1585	78705	219044
1586	78760	219009
1587	78809	218959
1588	78858	218908
1589	78907	218855
1590	78953	218796
1591	79000	218741
1592	79047	218682
1593	79092	218621
1594	79136	218554
1595	79176	218479
1596	79226	218430
1597	79273	218373
1598	79324	218329
1599	79372	218273
1600	79419	218217
1601	79469	218170
1602	79515	218109
1603	79561	218049
1604	79609	217996
1605	79661	217952
1606	79714	217911
1607	79769	217877
1608	79817	217823
1609	79867	217775
1610	79916	217723
1611	79963	217667
1612	80012	217616
1613	80065	217575
1614	80114	217525
1615	80162	217469
1616	80210	217415
1617	80260	217367
1618	80307	217311
1619	80361	217274
1620	80411	217224
1621	80457	217167
1622	80506	217115
1623	80556	217065
1624	80600	217000
1625	80648	216946
1626	80696	216894
1627	80750	216856
1628	80801	216808
1629	80851	216760
1630	80904	216720
1631	80950	216662
1632	80997	216605
1633	81038	216531
1634	81081	216465
1635	81124	216398
1636	81169	216336
1637	81216	216278
1638	81266	216231
1639	81319	216189
1640	81368	216140
1641	81421	216100
1642	81466	216036
1643	81514	215982
1644	81566	215940
1645	81614	215887
1646	81664	215837
1647	81709	215775
1648	81757	215724
1649	81803	215664
1650	81852	215612
1651	81902	215564
1652	81950	215509
1653	81994	215446
1654	82042	215392
1655	82089	215336
1656	82138	215284
1657	82186	215232
1658	82234	215178
